,sg_uf,dis_name,YEAR,cases,pop,pop_100k,mor_100k,mor_num,cnr_per 100k pop,res_cases,cured,t_com,died,fail,treat_death,p_cov,def,other,t_out,not_eva,fail_not_val_t_out,beds,fhs,fhs_sc,abandon,f_treated,has_prison,k50,pct_idc,temp,humi,rain
22,3,Bhola,2009,2062,1996901,19.96901,51,1018.41951,86.33,1724,1514,119,64.58700696,5,54,0.836081474,6,26,26,30,61,382,0.765185655,0.765185655,0.002909796,0.836081474,0,0.9942,0.000250388,26.22072041,82.98188242,5.901991314
23,3,Bhola,2010,2044,2025652,20.25652,43,871.03036,85.06,1723,1506,103,72.36448056,6,61,0.84295499,8,38,38,1,45,382,0.754325027,0.754325027,0.003913894,0.84295499,0,0.9942,0.000296201,26.35428984,82.10270583,5.723034116
24,3,Bhola,2011,2122,2054817,20.54817,46,945.21582,80.15,1649,1523,62,50.18677987,4,39,0.777097078,5,14,14,2,20,382,0.743618531,0.743618531,0.002356268,0.777097078,0,0.9942,0.000194665,26.13888551,82.5874872,6.535153236
25,3,Bhola,2012,2268,"1,854,123",18.54123,45,834.35535,97,1802,1663,41,100.6881243,4,80,0.794532628,4,8,8,2,14,382,0.824109296,0.824109296,0.001763668,0.794532628,0,0.9847,0.000215735,25.41692071,82.36263978,5.203185025
26,3,Bhola,2013,2651,"1,861,927",18.61927,51,949.58277,99.47,1850,1743,36,84.54540541,2,59,0.697849868,3,3,3,4,9,382,0.82065516,0.82065516,0.001131648,0.697849868,0,0.9847,0.000107416,25.65066877,82.43271118,6.49937382
27,3,Bhola,2014,2609,"1,869,763",18.69763,51,953.57913,138.31,1766,1628,58,62.04869762,8,42,0.676887696,21,7,7,2,17,382,0.817215872,0.817215872,0.008049061,0.676887696,0,0.9847,0.000427862,25.96309525,81.38983108,5.307701509
28,3,Bhola,2015,2770,"1,877,633",18.77633,45,844.93485,146.94,1848,1700,30,94.43181818,6,63,0.667148014,31,12,12,6,24,382,0.813790554,0.813790554,0.011191336,0.667148014,0,0.9847,0.000319551,26.0113034,81.41376922,7.7032654
29,3,Bhola,2016,3016,"1,885,535",18.85535,40,754.214,159.64,1927,1827,0,86.08199273,7,55,0.638925729,16,18,18,4,29,382,0.810380078,0.810380078,0.00530504,0.638925729,0,0.9847,0.000371247,26.53695041,82.43292403,6.94714388
30,3,Bhola,2017,3377,"1,893,471",18.93471,36,681.64956,177.87,2130,2022,0,72.93051643,6,46,0.630737341,14,32,32,10,48,382,0.806983577,0.806983577,0.004145691,0.630737341,0,0.9847,0.000316878,26.21586819,82.97174989,8.139460181
31,4,Jhalkhati,2008,829,744823,7.44823,51,379.85973,98.28,732,682,9,33.97540984,3,30,0.882991556,5,3,3,0,6,222,1.192229563,1.192229563,0.006031363,0.882991556,0,0.9847,0.00040278,25.90346796,81.38583946,5.69747125
32,4,Jhalkhati,2009,768,747739,7.47739,51,381.34689,81.45,609,569,3,20.1773399,3,16,0.79296875,3,14,14,1,18,222,1.187580158,1.187580158,0.00390625,0.79296875,0,0.9847,0.00040121,26.39042741,82.43035193,5.300334666
